unix,open,high,low,close,Volume BTC,tradecount
1.64429E+12,44120,44156.52,44118.84,44154.94,18.23304,537
1.64429E+12,44152.98,44152.98,44137.96,44145.99,13.01,624
1.64429E+12,43989.82,44006.79,43981.94,44005.54,28.07821,776
1.64429E+12,43951.25,43974.71,43938.24,43974.7,22.55366,659
1.64429E+12,44017.22,44031.67,44010,44028.05,9.07712,400
1.64429E+12,44045.3,44046.54,44014.01,44019,18.85453,576
1.64428E+12,43948.5,43967.59,43945,43959.12,10.19216,325
1.64428E+12,43929.11,43954.36,43900.01,43913.23,28.21605,662
1.64428E+12,43822.82,43829.99,43786.13,43825.19,17.18596,712
1.64428E+12,43848.4,43848.41,43778.79,43780.01,55.22194,1183
1.64428E+12,43795.11,43852.5,43791.24,43840.92,26.7393,894
1.64428E+12,44133.07,44190.58,44130.02,44171.17,18.62552,636
1.64427E+12,44150,44150.01,44110.96,44111.44,16.06575,647
1.64427E+12,44066.77,44068.76,44008.66,44032.18,10.26055,713
1.64427E+12,43939.96,43939.97,43887.64,43903.27,33.38269,589
1.64427E+12,44070.88,44136.61,44059.96,44118.45,27.76129,854
1.64427E+12,44148.44,44148.44,44120,44128.98,18.32466,732
1.64426E+12,44364.89,44396.2,44355.55,44393.72,43.92219,798
1.64426E+12,44287.43,44290.87,44228.92,44256.88,57.54355,1292
1.64426E+12,44004.89,44005,43963.38,43970.36,10.75163,614
1.64426E+12,44125.4,44141.21,44108.51,44117.86,14.11523,689
1.64426E+12,44258.58,44276.96,44175.84,44187.92,50.83961,1774
1.64426E+12,43893.46,43915.95,43867.87,43888.87,33.15774,975
1.64425E+12,43727.31,43727.31,43666.64,43693.49,33.1934,926
1.64425E+12,43868.5,44077,43857.56,43976.58,519.34535,8863
1.64425E+12,43695.87,43754.88,43695.86,43728.73,53.53403,1677
1.64425E+12,43546.83,43558.67,43451.63,43496.86,83.14764,2729
1.64425E+12,43349.18,43432.85,43344,43429.71,36.91706,1163
1.64424E+12,42855.79,42969,42807.97,42968.99,60.8015,1756
1.64424E+12,42874.39,42874.39,42824,42824,34.09373,906
1.64424E+12,42708,42764.04,42688.79,42747.54,24.94127,836
1.64424E+12,42710.07,42710.08,42689.11,42695.75,4.84926,376
1.64424E+12,42600,42635,42595.34,42634.99,8.86942,521
1.64424E+12,42674.78,42695.82,42670,42693.95,27.88737,842
1.64423E+12,42670.51,42690.3,42660.01,42690,34.67619,1059
1.64423E+12,42601.28,42648.9,42593.08,42640.13,28.97403,730
1.64423E+12,42590.8,42590.81,42541.43,42559.99,19.77522,645
1.64423E+12,42447.19,42450.99,42432.51,42435.21,17.06955,500
1.64423E+12,42375.41,42375.41,42285.6,42317.31,114.98996,2391
1.64422E+12,42619.33,42619.33,42603.51,42613.86,11.74112,438
1.64422E+12,42564.07,42580,42560.34,42571.87,10.74163,508
1.64422E+12,42750,42767.69,42717.57,42731.92,12.56572,523
1.64422E+12,42725.09,42725.09,42704.08,42705.74,8.32162,489
1.64422E+12,42749.28,42763.14,42732.7,42732.71,13.16728,517
1.64422E+12,42736.02,42738.85,42730.6,42730.6,15.38682,435
1.64421E+12,42746.86,42756.48,42737.46,42746.99,15.37648,508
1.64421E+12,42804.94,42834.82,42747.66,42750.54,139.22666,1000
1.64421E+12,42744.56,42774.47,42742.01,42742.01,24.40924,516
1.64421E+12,42836.48,42845.39,42797.27,42797.32,36.89902,877
1.64421E+12,42772.31,42776.09,42726.76,42730.09,30.13367,1124
1.6442E+12,42721.23,42799.79,42721.23,42768.4,60.09063,1790
1.6442E+12,42398.27,42458.67,42398.26,42458.66,15.33572,691
1.6442E+12,42436.14,42459.96,42415.9,42446.59,37.99704,978
1.6442E+12,42177.55,42213.53,42177.05,42204.34,16.91302,771
1.6442E+12,41986.83,41999.56,41970.96,41995.73,20.60084,732
1.6442E+12,41741.23,41761.12,41724.34,41749.36,25.3799,1378
1.64419E+12,41800.72,41823.31,41780.03,41819.99,21.80241,597
1.64419E+12,42308.71,42327.44,42245.69,42251,87.81614,1708
1.64419E+12,42293.07,42312.25,42273.58,42300,27.53629,777
1.64419E+12,41611.24,41638.38,41584.36,41634.77,24.25297,572
1.64419E+12,41656.82,41665.22,41656.38,41662.29,5.23374,290
1.64419E+12,41688.02,41688.02,41667.74,41667.76,10.53537,362
1.64418E+12,41707.41,41707.41,41678.05,41697.8,3.57165,322
1.64418E+12,41597.78,41598.82,41577.68,41577.68,7.69077,389
1.64418E+12,41723.21,41730.2,41700.82,41711.73,9.00016,501
1.64418E+12,41717.92,41723.02,41700.18,41715.15,5.17002,603
1.64418E+12,41648.25,41663.9,41633,41655.99,6.11384,321
